Fecha,Tipo de Indicador,Indicador,Entidad,Valor
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. De Crédito del Perú,145.56
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Pichincha,110.11
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Interamericano de Finanzas,175.43
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Scotiabank Perú,124.76
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Citibank,0.0
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Interbank,188.45
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Mibanco,152.91
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. GNB,172.04
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Falabella Perú,166.34
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Santander Perú,332.47
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. Ripley,232.73
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,Alfin Banco,245.68
2016-04-30,CALIDAD DE ACTIVOS,Provisiones / Créditos Atrasados,B. ICBC,124.38
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. BBVA Perú,2.2138194185073727
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,BANCOM,4.621425007454685
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. De Crédito del Perú,2.869111057732774
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Pichincha,4.078506474095804
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Interamericano de Finanzas,2.419421298943266
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Scotiabank Perú,2.494214334671796
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Citibank,3.4837635391845096
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Interbank,3.514647334515539
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Mibanco,8.45221396237627
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. GNB,2.899717447289273
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Falabella Perú,10.897477218854878
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Santander Perú,1.1400932727152324
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. Ripley,15.611789944995383
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,Alfin Banco,20.448024153599498
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Administración Anualizados / Activo Productivo Promedio,B. ICBC,4.416310880993663
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. BBVA Perú,42.25993778214428
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,BANCOM,51.5630081414029
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. De Crédito del Perú,38.520335076630225
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Pichincha,61.4537457646666
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Interamericano de Finanzas,45.124619641331236
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Scotiabank Perú,37.4483254942489
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Citibank,61.05570491550642
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Interbank,41.021484595199794
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Mibanco,59.694622775190865
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. GNB,53.326704628206535
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Falabella Perú,51.999275691046854
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Santander Perú,36.76543604488741
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. Ripley,58.184372874766275
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,Alfin Banco,61.91339395104865
2016-04-30,EFICIENCIA Y GESTIÓN,Gastos de Operación / Margen Financiero Total,B. ICBC,462.3555621813877
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. BBVA Perú,83.38120642753643
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,BANCOM,88.21194916651261
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. De Crédito del Perú,79.97504917354212
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Pichincha,88.65002066977978
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Interamericano de Finanzas,86.7328302537461
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Scotiabank Perú,84.42080115631308
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Citibank,91.03434821325817
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Interbank,87.23595457917604
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Mibanco,97.6764818555689
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. GNB,89.07212671951537
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Falabella Perú,87.63500519709262
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Santander Perú,80.0417972673828
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. Ripley,88.91072343552476
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,Alfin Banco,96.531389004172
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros / Ingresos Totales,B. ICBC,90.60020851833525
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. BBVA Perú,7.386497021068887
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,BANCOM,12.412310470384554
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. De Crédito del Perú,8.1232824753408
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Pichincha,11.059339627153362
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Interamericano de Finanzas,8.266719045644214
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Scotiabank Perú,7.689160276570515
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Citibank,8.275930745513358
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Interbank,11.152800321051657
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Mibanco,19.590048763766006
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. GNB,8.203242013461264
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Falabella Perú,24.801405169870684
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Santander Perú,4.643665502305623
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. Ripley,32.263958969280026
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,Alfin Banco,43.884194253688996
2016-04-30,EFICIENCIA Y GESTIÓN,Ingresos Financieros Anualizados / Activo Productivo Promedio,B. ICBC,3.7082092782006164
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. BBVA Perú,8973.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,BANCOM,1751.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. De Crédito del Perú,3685.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. Pichincha,3343.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. Interamericano de Finanzas,5938.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,Scotiabank Perú,6713.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,Citibank,5168.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,Interbank,3610.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,Mibanco,769.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. GNB,6300.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. Falabella Perú,1528.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. Santander Perú,33851.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. Ripley,966.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,Alfin Banco,178.0
2016-04-30,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal,B. ICBC,3444.0
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. BBVA Perú,141353.06882043343
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,BANCOM,80095.46782352941
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. De Crédito del Perú,160295.72250561797
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. Pichincha,56080.83363636364
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. Interamericano de Finanzas,85762.32227272728
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,Scotiabank Perú,147665.5374
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,Citibank,4993981.467
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,Interbank,82898.054633218
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,Mibanco,17795.85124148607
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. GNB,270253.1935714286
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. Falabella Perú,32294.566760416667
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. Santander Perú,2860434.076
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. Ripley,33453.25912121212
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,Alfin Banco,3799.1030062111804
2016-04-30,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas,B. ICBC,189505.196
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. BBVA Perú,22.545523050805212
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,BANCOM,13.739802625269606
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. De Crédito del Perú,23.252642857690404
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Pichincha,9.093181780086274
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Interamericano de Finanzas,13.54525365179363
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Scotiabank Perú,17.625955115797794
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Citibank,31.73873015360963
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Interbank,25.169825484057657
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Mibanco,17.06067298663176
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. GNB,9.078277586550918
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Falabella Perú,18.62744367531285
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Santander Perú,13.891093156658089
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Ripley,19.328591006199147
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Alfin Banco,9.279178696899669
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. ICBC,-12.598329484773949
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. BBVA Perú,1.733660839183557
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,BANCOM,1.6715613604439576
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. De Crédito del Perú,2.2431191254723015
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. Pichincha,0.7146985994469897
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. Interamericano de Finanzas,0.9880254473000432
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,Scotiabank Perú,1.959724921847899
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,Citibank,4.806041459169167
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,Interbank,2.1844930396684035
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,Mibanco,2.0492033732476806
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. GNB,1.0190966000845165
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. Falabella Perú,2.575502485325407
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. Santander Perú,1.3520761926524625
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. Ripley,3.8331395013819907
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,Alfin Banco,1.1585744217239564
2016-04-30,RENTABILIDAD,Utilidad Neta Anualizada / Activo Promedio,B. ICBC,-3.254875408920356
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,B. BBVA Perú,26.92
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,BANCOM,26.66
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,B. De Crédito del Perú,24.62
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,B. Pichincha,16.48
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,B. Interamericano de Finanzas,13.35
2016-04-30,LIQUIDEZ,Ratio de Liquidez MN,Scotiabank Perú,21.15
